frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility,quality_valid,knee_flexion_relative_deg,hip_flexion_relative_deg,trunk_flexion_relative_deg,knee_flexion_interpolated_deg,knee_flexion_filtered_deg,knee_flexion_was_interpolated,hip_flexion_interpolated_deg,hip_flexion_filtered_deg,hip_flexion_was_interpolated,trunk_flexion_interpolated_deg,trunk_flexion_filtered_deg,trunk_flexion_was_interpolated,ankle_dorsiflexion_interpolated_deg,ankle_dorsiflexion_filtered_deg,ankle_dorsiflexion_was_interpolated,foot_inclination_interpolated_deg,foot_inclination_filtered_deg,foot_inclination_was_interpolated,any_signal_was_interpolated,knee_angular_velocity_deg_s,signal_processing_valid
23,1.1196324825286865,left,left,179.14980549933313,0.8501945006668734,176.74759357542774,-3.252406424572257,-3.2962537959747347,90.75594900387992,-0.4732418284317106,1.5622961331443397,-0.28148234492536517,OK,0.8823327422142029,heel,0.9999964833259583,0.9988206624984741,0.9026753306388855,0.9019749760627747,0.8823327422142029,0.8898351192474365,True,-1.0991494271555358,-0.6371436660421077,-0.29271841224367456,-1.0991494271555358,-1.0019792938799217,False,-0.6371436660421077,-0.5576435403257969,False,-0.29271841224367456,-0.26394857651515125,False,-0.4732418284317106,-0.49100230886151336,False,-0.28148234492536517,-0.21728202120775678,False,False,-1.0064117261028394,True
24,1.1593897342681885,left,left,179.20512133452448,0.7948786654755224,176.72643543595782,-3.273564564042175,-3.2872159755794907,91.05523518485674,-0.7725280094085321,1.8364624387949746,-0.007316039274741115,OK,0.88243567943573,heel,0.9999964833259583,0.9987941384315491,0.8990187048912048,0.9023870825767517,0.88243567943573,0.891253650188446,True,-1.1544652623468867,-0.6583018055120258,-0.28368059184843064,-1.1544652623468867,-1.0304082149611848,False,-0.6583018055120258,-0.5703164071282126,False,-0.28368059184843064,-0.2806825584304849,False,-0.7725280094085321,-0.683551672786163,False,-0.007316039274741115,-0.0572226934772857,False,False,-0.2108472077602249,True
25,1.2140660285949707,left,left,179.04164914255296,0.9583508574470443,176.83554245511917,-3.1644575448808325,-3.2941458383175837,91.12373446228742,-0.841027286839207,1.9523970262977004,0.10861854822798023,OK,0.8824359774589539,heel,0.9999966025352478,0.9987912774085999,0.8965411186218262,0.9034591317176819,0.8824359774589539,0.8929433822631836,True,-0.9909930703753649,-0.5491947863506832,-0.29061045458652357,-0.9909930703753649,-0.9655002602434454,False,-0.5491947863506832,-0.5529927269580137,False,-0.29061045458652357,-0.29424183283058475,False,-0.841027286839207,-0.8598000108619374,False,0.10861854822798023,0.1530506447459345,False,False,0.6215430142250256,True
26,1.258286714553833,left,left,178.97237261458815,1.0276273854118472,176.91513631919744,-3.084863680802556,-3.2816279710214125,91.34511458555464,-1.062407410106431,2.1759776807476676,0.33219920267794123,OK,0.8813972473144531,heel,0.9999966621398926,0.9987812042236328,0.8934664130210876,0.9035848379135132,0.8813972473144531,0.8935920596122742,True,-0.921716542410562,-0.4696009222724067,-0.27809258729035236,-0.921716542410562,-0.8889538292089103,False,-0.4696009222724067,-0.5077502492841811,False,-0.27809258729035236,-0.29594069056328526,False,-1.062407410106431,-0.799190277718617,False,0.33219920267794123,0.12204600723060821,False,False,1.3755483216335396,True
27,1.3015785217285156,left,left,178.71183307110647,1.2881669288935313,176.934014786857,-3.0659852131429943,-3.3296425019150027,91.43250269497202,-1.1497955195238063,2.457012335093576,0.6132338570238574,OK,0.8805912733078003,heel,0.9999967217445374,0.9987932443618774,0.8908483386039734,0.9042463898658752,0.8805912733078003,0.8943885564804077,True,-0.6611769989288778,-0.450722454612845,-0.32610711818394256,-0.6611769989288778,-0.8108478090244067,False,-0.450722454612845,-0.4528004212981509,False,-0.32610711818394256,-0.2954879611360147,False,-1.1497955195238063,-0.5980843902437215,False,0.6132338570238574,-0.05545095861854747,False,False,1.7151987737224768,True
28,1.357224702835083,left,left,178.76707334416045,1.2329266558395489,176.9738059637969,-3.026194036203094,-3.3047480846382373,90.45290033816332,-0.17019316271510831,1.4072729455677264,-0.43650553250199664,OK,0.8781917095184326,heel,0.9999967813491821,0.9987938404083252,0.8869814276695251,0.9032752513885498,0.8781917095184326,0.8937885165214539,True,-0.7164172719828603,-0.4109312776729448,-0.3012127009071772,-0.7164172719828603,-0.73569272110411,False,-0.4109312776729448,-0.4152898209628185,False,-0.3012127009071772,-0.2980059366535418,False,-0.17019316271510831,-0.3716445230084389,False,-0.43650553250199664,-0.2467643137863888,False,False,1.7363064139449158,True
29,1.3940761089324951,left,left,178.81459123360196,1.1854087663980408,177.00118457588798,-2.998815424112024,-3.284952328443138,90.04970574748226,0.23300142796594514,0.9489776095492104,-0.8948008685205195,OK,0.8753907680511475,heel,0.9999968409538269,0.9987905025482178,0.8829396963119507,0.9018614292144775,0.8753907680511475,0.8927018642425537,True,-0.7639351614243683,-0.38355266558187484,-0.281416944712078,-0.7639351614243683,-0.6504008253325286,False,-0.38355266558187484,-0.38974589486135275,False,-0.281416944712078,-0.3055785739421227,False,0.23300142796594514,-0.09211457564612147,False,-0.8948008685205195,-0.4741189287671716,False,False,1.8014728122172046,True
30,1.443587064743042,left,left,178.66587370295147,1.3341262970485275,177.02309545679583,-2.9769045432041707,-3.306735715905219,89.991535126111,0.29117204933720586,0.9958302504585036,-0.8479482276112265,OK,0.8740008473396301,heel,0.9999969601631165,0.9988123774528503,0.8795467615127563,0.9022199511528015,0.8740008473396301,0.8928418159484863,True,-0.6152176307738817,-0.3616417846740214,-0.30320033217415876,-0.6152176307738817,-0.5973573436782065,False,-0.3616417846740214,-0.34489679752141544,False,-0.30320033217415876,-0.28962326089375495,False,0.29117204933720586,0.05707078982688074,False,-0.8479482276112265,-0.599154596877429,False,False,1.858875888016159,True
31,1.481982707977295,left,left,178.54591313573025,1.4540868642697546,177.04285594970477,-2.957144050295227,-3.319491157464317,89.94746484874305,0.3352423267051563,1.039204605843736,-0.8045738722259728,OK,0.8726029992103577,heel,0.9999970197677612,0.9988306164741516,0.8764061331748962,0.902432382106781,0.8726029992103577,0.8928346037864685,True,-0.49525706355265453,-0.34188129176507775,-0.3159557737332568,-0.49525706355265453,-0.5206360621180101,False,-0.34188129176507775,-0.2933809698188904,False,-0.3159557737332568,-0.26938979220469833,False,0.3352423267051563,-0.08055768421001801,False,-0.8045738722259728,-0.41608720029379354,False,False,1.8202982027736383,True
32,1.522378921508789,left,left,178.44661566283486,1.5533843371651415,177.1582602735567,-2.8417397264433077,-3.249865936673164,90.686575867607,-0.4038686921587953,1.8318339945422957,-0.011944483527429384,OK,0.8715522289276123,heel,0.9999970197677612,0.998820424079895,0.8751498460769653,0.901455819606781,0.8715522289276123,0.891769289970398,True,-0.3959595906572677,-0.2264769679131584,-0.24633055294210404,-0.3959595906572677,-0.4319893183659051,False,-0.2264769679131584,-0.2259395402751247,False,-0.24633055294210404,-0.2442727137393687,False,-0.4038686921587953,-0.2736279622560147,False,-0.011944483527429384,-0.1766945295741323,False,False,2.0014260774096355,True
