cycle_percent,knee_flexion_mean,knee_flexion_sd,hip_flexion_mean,hip_flexion_sd,trunk_flexion_mean,trunk_flexion_sd,knee_velocity_mean,knee_velocity_sd,ankle_dorsiflexion_mean,ankle_dorsiflexion_sd,foot_inclination_mean,foot_inclination_sd
51.0,84.19969164662403,2.504736938041422,86.21834961668714,2.0609344309916984,23.46510276876086,0.88915170335496,21.865748117488945,8.176352532129796,17.18528369592156,0.9681727670922097,4.261161102776163,1.1552406051227013
52.0,84.51637194834615,2.443486685405347,86.64079870276508,2.000455163864053,23.64860546884458,0.9048800579311477,17.70550775150885,8.36352345870265,17.10928433785947,1.0055212093367125,4.414894376566153,1.1651630762615683
53.0,84.78854479833227,2.382817199419069,87.00764784164068,1.9176659776619873,23.81439018822179,0.9094859048670847,13.786717631970108,8.494231821662362,17.019923966724992,1.0737109232764306,4.575363178188377,1.2141859089801759
54.0,85.04671654051751,2.3421412213695194,87.35800363408684,1.8579083424952125,23.975573516321614,0.9201901113525777,9.953995579737997,8.811643840586246,16.923707158922003,1.1541884995038192,4.740579263830268,1.2779988963418276
55.0,85.14012018455686,2.3339106370272016,87.5015096680827,1.786880835144139,24.084482756040217,0.9077937824592359,6.294878173142416,9.244682849678707,16.798894435795734,1.1688759156678346,4.924198836718619,1.291406403443069
56.0,85.20903765364936,2.3425374685766536,87.61545699105112,1.7321600304180542,24.18700961110076,0.8967311189915069,2.657577757824734,9.774463894815202,16.664784988294485,1.18963376913578,5.1158052854044955,1.3100283298164075
57.0,85.25297155667269,2.4249346642802196,87.70119993660921,1.7520518739186772,24.2782795195541,0.8794583328424299,-0.8869073275421221,10.077809658757532,16.511786694323774,1.240255582198222,5.318264445293769,1.363160765808251
58.0,85.21464429876916,2.5248579243809837,87.68830358257848,1.8423347862486281,24.34043476147809,0.8696252556742513,-4.993966901479841,10.190814591004367,16.317841307173282,1.2369590503355365,5.548934170495453,1.396946028061181
59.0,85.13825014343725,2.639935565550702,87.62848627643314,1.9787737944186525,24.38704128996139,0.8675509272700976,-9.42327006394281,10.369671448364642,16.114919151501827,1.2230359276222191,5.781886005463647,1.4329973843697719
60.0,84.9778283357867,2.78496301190113,87.43553355759678,2.1275051668381435,24.388194808578707,0.8285238263349397,-14.76599697489845,10.801818841667366,15.850104625670584,1.2993499944815057,6.080384961098012,1.5189955850211148
61.0,84.7244591005544,2.9341243781539004,87.12893067751416,2.2709462733628096,24.356959865802157,0.7903201111270514,-21.155305562062683,10.982892644246046,15.576315390753967,1.4069421673128575,6.376172898088399,1.631178802192536
62.0,84.34668405287054,3.1280225201399032,86.68241554867812,2.449166879791955,24.291427334830605,0.7693573819023564,-28.622401500963694,11.080633117917163,15.293372540376083,1.5379541349642667,6.6623232986469345,1.765943821485935
63.0,83.95303684108488,3.32938224366806,86.19297818859769,2.623898030136016,24.195424234204847,0.7287430243648757,-36.78223527702186,12.387010584585923,15.03442632086683,1.6616219454999535,6.921056565825162,1.8755094997577435
64.0,83.4936849539615,3.5365859009934835,85.65040573444463,2.811115324908593,24.092501725632385,0.6943373099735752,-45.50002525918333,13.605374403612647,14.805742558441928,1.801333908226176,7.130038386707288,1.991271420455201
