frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility
30,1.7749121189117432,left,left,97.18470072827985,82.81529927172015,100.68628713016719,79.31371286983281,19.448396289657953,75.04899753111205,19.324380266493236,7.998980222657328,0.8704874181082403,OK,0.9540982842445374,heel,0.9999510049819946,0.9994160532951355,0.9571584463119507,0.9707184433937073,0.9540982842445374,0.9642272591590881
31,1.8317842483520508,left,left,96.72130006009061,83.27869993990939,100.03505548545269,79.96494451454731,20.15968946864312,75.61132568592961,18.762052111675672,9.08477057993481,1.956277775385729,OK,0.9575029015541077,heel,0.99993896484375,0.9994631409645081,0.9603936672210693,0.9730711579322815,0.9575029015541077,0.9669554829597473
32,1.890841007232666,left,left,92.81188220965501,87.18811779034499,95.27569845308327,84.72430154691673,21.448755084391276,75.92151484339935,18.451862954205936,9.834086171218907,2.705593366669831,OK,0.9605132937431335,heel,0.9999292492866516,0.9995063543319702,0.9632248878479004,0.9750779271125793,0.9605132937431335,0.9693264365196228
33,1.9469408988952637,left,left,92.35422723265609,87.64577276734391,95.30307784429004,84.69692215570996,21.297102182401705,76.53477367056617,17.83860412703912,10.780726464601832,3.652233660052758,OK,0.9630794525146484,heel,0.9999149441719055,0.9995360970497131,0.9657571911811829,0.9767665863037109,0.9630794525146484,0.9712305068969727
34,2.0031533241271973,left,left,90.51531142799979,89.48468857200021,93.2860476012459,86.7139523987541,21.74490655377049,76.25848292777917,18.114894869826117,10.774125654795753,3.6456328502466704,OK,0.9650494456291199,heel,0.9998968243598938,0.9995570778846741,0.9677017331123352,0.9779443144798279,0.9650494456291199,0.9725037813186646
35,2.0593864917755127,left,left,91.28352915876297,88.71647084123703,94.20425289040614,85.79574710959386,22.083826422703886,78.81994870743381,15.553429090171477,13.824498861780867,6.696006057231784,OK,0.9665581583976746,heel,0.9998655319213867,0.9995613098144531,0.9691178202629089,0.9787444472312927,0.9665581583976746,0.9732690453529358
36,2.1128532886505127,left,left,91.52452463539032,88.47547536460968,94.3032599675078,85.6967400324922,22.310003215508267,80.01500689639427,14.358370901211018,15.103745444020017,7.975252639470938,OK,0.9677055478096008,heel,0.9998316168785095,0.9995532631874084,0.9701356291770935,0.9792774319648743,0.9677055478096008,0.9736570715904236
37,2.1679601669311523,left,left,93.94887913922729,86.05112086077271,96.51413151059174,83.48586848940826,22.209249455116318,80.50322252642663,13.87015527117866,15.2777243529074,8.14923154835833,OK,0.969779372215271,heel,0.9998218417167664,0.9995764493942261,0.9722371101379395,0.9808242917060852,0.969779372215271,0.9754923582077026
38,2.225346326828003,left,left,94.70673125213526,85.29326874786474,97.15665123824317,82.84334876175683,22.151698683711235,80.78486542372194,13.588512373883347,15.386484093541087,8.257991288992002,OK,0.9714751839637756,heel,0.9998117685317993,0.9995953440666199,0.9739776253700256,0.9821214079856873,0.9714751839637756,0.9770120978355408
39,2.2874622344970703,left,left,104.41600772984945,75.58399227015055,107.34313422914907,72.65686577085093,20.14114805281454,82.09688565141846,12.276492146186825,15.16516020353261,8.036667398983525,OK,0.972672700881958,heel,0.9997968077659607,0.9996160864830017,0.9754527807235718,0.9831646084785461,0.972672700881958,0.9782431721687317
40,2.3433139324188232,left,left,112.66566154684499,67.33433845315501,115.83055552005501,64.16944447994499,18.656909719474637,83.93007954360274,10.443298254002542,15.751883236287396,8.62339043173833,OK,0.9734230637550354,heel,0.999790370464325,0.9996342062950134,0.9768987894058228,0.9838933944702148,0.9734230637550354,0.9789457321166992
41,2.401087999343872,left,left,112.85462048992055,67.14537951007945,116.70048032346035,63.299519676539646,17.56298916270393,84.85631612862835,9.517061668976936,16.26516512487208,9.136672320323015,OK,0.9741123914718628,heel,0.9997653961181641,0.9996452927589417,0.9778391718864441,0.9843209981918335,0.9741123914718628,0.9792517423629761
42,2.473456859588623,left,left,129.75564032939872,50.244359670601284,131.38585160651917,48.61414839348083,15.514858286561816,88.64651874530851,5.726859052296774,15.79158830899078,8.663095504441714,OK,0.9737171530723572,heel,0.9997744560241699,0.9996534585952759,0.9782211780548096,0.9845051765441895,0.9737171530723572,0.9787572622299194
43,2.5306396484375,left,left,138.97890290337486,41.02109709662514,138.30011673845468,41.699883261545324,13.962567480600761,91.5453193086434,2.8280584889618865,14.829100624323988,7.700607819774916,OK,0.9739104509353638,heel,0.999788224697113,0.9996631741523743,0.9793478846549988,0.9851546287536621,0.9739104509353638,0.979125440120697
44,2.587078094482422,left,left,141.6896388732589,38.3103611267411,142.23200989953963,37.767990100460366,12.298720459720041,92.08712597612235,2.286251821482935,14.928217462123103,7.799724657574018,OK,0.9744723439216614,heel,0.9998015761375427,0.9996703863143921,0.9801793694496155,0.9857054948806763,0.9744723439216614,0.9792970418930054
45,2.6443333625793457,left,left,159.12979386645,20.87020613355,159.54828482410028,20.45171517589972,7.225809564712852,94.07519485574937,0.298182941855913,11.719495378112494,4.591002573563429,OK,0.9740808010101318,heel,0.9998123049736023,0.9996610283851624,0.9804387092590332,0.9859294295310974,0.9740808010101318,0.979308545589447
46,2.7081100940704346,left,left,166.5757106977763,13.424289302223713,168.75489113205802,11.24510886794198,2.997015029150709,96.10267080751458,-1.7292930099092985,11.278866270947008,4.150373466397923,OK,0.971360445022583,heel,0.9998252987861633,0.9996516704559326,0.9788756370544434,0.9853982925415039,0.971360445022583,0.9783007502555847
47,2.7653989791870117,left,left,169.65314707316094,10.346852926839063,172.86395291695604,7.136047083043962,1.1282569679651557,96.54468227695936,-2.1713044793540774,10.883745088719648,3.755252284170581,OK,0.9639522433280945,heel,0.99983811378479,0.9996036291122437,0.976059079170227,0.9832520484924316,0.9639522433280945,0.9750617146492004
48,2.823402166366577,left,left,175.66000747155806,4.33999252844194,178.9154737316884,1.0845262683116061,-0.6423634583417276,97.04135087653825,-2.6679730789329597,9.654453678326854,2.525960873777791,OK,0.955058753490448,heel,0.9998488426208496,0.9994915127754211,0.9709360003471375,0.9796888828277588,0.955058753490448,0.9706019163131714
49,2.8803207874298096,left,left,176.59314144673448,3.406858553265522,179.48924000497604,-0.5107599950239603,-1.2329362043886538,96.00803763722604,-1.6346598396207526,8.692719981126853,1.5642271765777878,OK,0.951054036617279,heel,0.9998592734336853,0.9994531273841858,0.9681752324104309,0.9783539175987244,0.951054036617279,0.9689738154411316
50,2.939788579940796,left,left,178.14693107106442,1.8530689289355848,177.72292175237047,-2.2770782476295324,-1.7203904423447431,96.29523211139887,-1.9218543137935882,8.70498884561926,1.576496041070186,OK,0.9480689167976379,heel,0.9998707175254822,0.9993969798088074,0.9636960625648499,0.9763011336326599,0.9480689167976379,0.9673377275466919
51,2.995318651199341,left,left,178.74013462410926,1.2598653758907403,177.09034869611713,-2.9096513038828675,-1.868124757543161,95.96839926233365,-1.5950214647283616,8.269791184564102,1.14129838001503,OK,0.9423933625221252,heel,0.9998788833618164,0.999218761920929,0.9551501870155334,0.9713683724403381,0.9423933625221252,0.9622646570205688
52,3.0516092777252197,left,left,179.4836368313132,0.5163631686868086,176.31657659455482,-3.6834234054451827,-2.1417223301526223,95.85527247934401,-1.4818946817387229,7.91333672332339,0.7848439187742997,OK,0.9397780895233154,heel,0.9998884797096252,0.9991626143455505,0.9487582445144653,0.9693111181259155,0.9397780895233154,0.9608352780342102
53,3.1057369709014893,left,left,176.31622604955564,3.683773950444362,179.52405302316635,-0.4759469768336544,-1.126605923539683,93.96503843743388,0.4083393601714107,6.998153441172229,-0.13033936337683372,OK,0.9396300911903381,heel,0.999897301197052,0.9991094470024109,0.9471813440322876,0.968966007232666,0.9396300911903381,0.9610773921012878
54,3.167520046234131,left,left,170.61000068047585,9.38999931952415,176.48197774331143,3.5180222566885675,-0.4271340314968778,91.20212570503358,3.171252092571706,6.646968736372283,-0.48152406817678184,OK,0.9395898580551147,heel,0.9999051094055176,0.9990801811218262,0.9464257955551147,0.9679364562034607,0.9395898580551147,0.960625171661377
