frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min
39,2.1344547271728516,left,left,178.5143507965528,-1.4856492034471955,172.20017349949765,-7.799826500502348,-5.374820872147375,94.05338136012725,-0.6790941873094596,4.9927377850350085,0.6769978555591365,OK,0.8563129901885986
40,2.178317070007324,left,left,178.56991824426817,-1.430081755731834,172.27991591414755,-7.720084085852449,-5.339156422173404,94.20518311776428,-0.8308959449464908,5.1560290257114865,0.8402890962356082,OK,0.8570199012756348
41,2.223168134689331,left,left,178.6163283681499,-1.383671631850092,172.35092434053382,-7.6490756594661775,-5.307644737348667,94.24959980215421,-0.8753126293364204,5.207359092421621,0.8916191629457444,OK,0.8576269149780273
42,2.2708656787872314,left,left,178.48746163770312,-1.5125383622968798,172.40889142118274,-7.591108578817256,-5.1892640833257255,94.31181049499921,-0.9375233221814199,5.201116628193838,0.8853766987179483,OK,0.8575364947319031
43,2.3127641677856445,left,left,178.58504154697982,-1.4149584530201764,172.52912905791746,-7.470870942082541,-5.147468117395365,94.23685588489289,-0.8625687120751024,5.145300256559888,0.8295603270840104,OK,0.8563992381095886
44,2.368907928466797,left,left,178.66617397195878,-1.3338260280412157,172.6078763811052,-7.3921236188948,-5.125816311213986,94.1887716106555,-0.8144844378377059,5.121252890295062,0.8055129608191862,OK,0.8550043702125549
45,2.4111239910125732,left,left,178.69213499334055,-1.3078650066594548,172.66681953000224,-7.333180469997757,-5.098745766940249,93.94597814688021,-0.5716909740624203,4.872547843278256,0.5568079138023734,OK,0.852962851524353
46,2.4614217281341553,left,left,178.68052600568294,-1.3194739943170646,172.69624806907166,-7.3037519309283425,-5.077961583318595,93.80634288799368,-0.4320557151758919,4.712659241286358,0.39691931181047835,OK,0.8512117266654968
47,2.508732318878174,left,left,179.04033686170058,-0.959663138299419,172.74869614112148,-7.251303858878515,-5.082071866463857,93.50907768705918,-0.13479051424138788,4.718646541174428,0.4029066116985405,OK,0.8496543169021606
48,2.5528388023376465,left,left,179.22565171615014,-0.7743482838498608,172.77124418393808,-7.22875581606192,-5.086896503429014,93.38750089898488,-0.01321372616709482,4.755011927767906,0.43927199829201413,OK,0.8482036590576172
