frame,time_s,left_fppa,right_fppa,pelvis_y,visibility_check,left_alignment,right_alignment,left_alignment_index,right_alignment_index,left_signed_deviation_percent,right_signed_deviation_percent,left_knee_deviation_percent,right_knee_deviation_percent,pelvis_velocity
69,2.9085164070129395,150.25433887475367,155.38172347747468,0.4434965252876282,OK,varus,varus,0.1313064258863826,0.10887487909440782,13.130642588638262,10.887487909440782,13.130642588638262,10.887487909440782,0.06072834097623936
70,2.9533627033233643,149.1638769045227,153.9582527587982,0.4471624791622162,OK,varus,varus,0.13601765025150228,0.11541368219927114,13.601765025150229,11.541368219927115,13.601765025150229,11.541368219927115,0.07968229575918784
71,2.9735589027404785,148.62523334563446,153.1313415140399,0.447342649102211,OK,varus,varus,0.1383658720559617,0.11914552825654297,13.836587205596171,11.914552825654297,13.836587205596171,11.914552825654297,0.08024034609102104
72,3.028787136077881,147.90513531474153,151.30629819905175,0.4513496458530426,OK,varus,varus,0.141510223753625,0.12755769599771763,14.151022375362498,12.755769599771764,14.151022375362498,12.755769599771764,0.03619689700489914
73,3.070538282394409,147.75116949468173,150.54415308324573,0.451833575963974,OK,varus,varus,0.14247489903623145,0.13103065600272903,14.247489903623144,13.103065600272904,14.247489903623144,13.103065600272904,0.03699967509164104
74,3.1087241172790527,147.37164501575387,149.13204264440074,0.45354515314102173,OK,varus,varus,0.1443654962574647,0.1375565922541369,14.43654962574647,13.755659225413691,14.43654962574647,13.755659225413691,0.04681883858879665
75,3.1350033283233643,147.31884891086167,148.41867693904373,0.45428942143917084,OK,varus,varus,0.14463731869872778,0.14080885812326085,14.46373186987278,14.080885812326086,14.46373186987278,14.080885812326086,0.04417279106892824
76,3.177116632461548,146.89505694765492,147.9128493180107,0.45570696890354156,OK,varus,varus,0.1467439548419827,0.143167502995334,14.67439548419827,14.316750299533402,14.67439548419827,14.316750299533402,0.02671094085400494
77,3.218571186065674,146.7287996269681,147.92753645842222,0.4558839350938797,OK,varus,varus,0.14754861561694363,0.14311929694856182,14.754861561694362,14.311929694856182,14.754861561694362,14.311929694856182,0.025208811841020307
78,3.257964849472046,146.24327993042706,147.76319353096378,0.45775170624256134,OK,varus,varus,0.1500219119613194,0.14397493252037719,15.002191196131939,14.39749325203772,15.002191196131939,14.39749325203772,0.01998575787068635
79,3.2939984798431396,146.0342476121054,147.5997650816076,0.458507776260376,OK,varus,varus,0.15110072811299707,0.14474179816093818,15.110072811299707,14.474179816093818,15.110072811299707,14.474179816093818,0.015297121367166433
80,3.326298475265503,145.3557474525889,147.07630197260207,0.4602784514427185,OK,varus,varus,0.15448102581703096,0.14722238158269504,15.448102581703097,14.722238158269505,15.448102581703097,14.722238158269505,0.009899211345081316
81,3.3893585205078125,145.36916452925647,147.1019180978171,0.45947642624378204,OK,varus,varus,0.1542983622223786,0.14707562562013418,15.429836222237862,14.707562562013418,15.429836222237862,14.707562562013418,-0.004050310015235148
82,3.4281299114227295,145.278636095274,147.11423116593755,0.4589790552854538,OK,varus,varus,0.15464261893512993,0.14700462174868043,15.464261893512992,14.700462174868042,15.464261893512992,14.700462174868042,-0.012973299488939105
83,3.470571517944336,145.42795417823203,147.22953494532115,0.4584978073835373,OK,varus,varus,0.15423947338057742,0.14645742142816606,15.423947338057742,14.645742142816607,15.423947338057742,14.645742142816607,-0.027633831005888787
84,3.509312152862549,145.54031622007153,147.3063453456338,0.4581472724676132,OK,varus,varus,0.15386147120963423,0.14609124431730813,15.386147120963422,14.609124431730812,15.386147120963422,14.609124431730812,-0.05728395130195452
85,3.531712293624878,146.0567153207468,148.68907051024874,0.4551210105419159,OK,varus,varus,0.15184768916246552,0.13946491701762673,15.184768916246552,13.946491701762673,15.184768916246552,13.946491701762673,-0.06250180453524568
86,3.5782926082611084,146.24482539785308,149.49650977196455,0.45358674228191376,OK,varus,varus,0.1511672167790791,0.1356356163042677,15.11672167790791,13.56356163042677,15.11672167790791,13.56356163042677,-0.0900546613893809
87,3.6022379398345947,148.04101837566967,150.89392084643816,0.4500444084405899,OK,varus,varus,0.14267624604108983,0.12902659572167427,14.267624604108983,12.902659572167426,14.267624604108983,12.902659572167426,-0.09701176015985347
88,3.651545763015747,148.82871193517553,151.69417567912208,0.448722168803215,OK,varus,varus,0.13898298152726546,0.125330086366714,13.898298152726547,12.5330086366714,13.898298152726547,12.5330086366714,-0.07149940507092367
89,3.693925380706787,152.18019941179446,155.3599988353044,0.44272446632385254,OK,varus,varus,0.1231276983511869,0.10850951057174137,12.31276983511869,10.850951057174136,12.31276983511869,10.850951057174136,-0.09985844946826106
90,3.7255241870880127,153.5102841220208,156.87346439618676,0.43993890285491943,OK,varus,varus,0.11690032386547908,0.1017009732571267,11.690032386547907,10.17009732571267,11.690032386547907,10.17009732571267,-0.11058852339055747
91,3.7620692253112793,156.6079288462357,160.3095782640675,0.4344074875116348,OK,varus,varus,0.10263677051552135,0.0864420155536119,10.263677051552135,8.64420155536119,10.263677051552135,8.64420155536119,-0.11840830529214319
92,3.795583486557007,157.79554123822197,161.1647156135568,0.4332168400287628,OK,varus,varus,0.09725415910855122,0.0826778117282786,9.725415910855121,8.26778117282786,9.725415910855121,8.26778117282786,-0.12267901147464944
93,3.833007335662842,161.36952435994385,164.7460400084475,0.42720727622509,OK,varus,varus,0.08137387092919243,0.06684164112388118,8.137387092919242,6.6841641123881175,8.137387092919242,6.6841641123881175,-0.1341936041363141
94,3.8661580085754395,162.76700023414125,166.18242336503243,0.42431990802288055,OK,varus,varus,0.0752860794448545,0.06055298758728063,7.528607944485451,6.055298758728063,7.528607944485451,6.055298758728063,-0.13463802381896883
95,3.914452075958252,166.98885132580642,169.21539105296472,0.4171034097671509,OK,varus,varus,0.05681169759913518,0.047155502237588014,5.681169759913518,4.715550223758801,5.681169759913518,4.715550223758801,-0.11814648108980208
96,3.951793670654297,167.95514418312285,170.3047112083039,0.4141257256269455,OK,varus,varus,0.0525844354687491,0.04237834935966856,5.2584435468749104,4.237834935966856,5.2584435468749104,4.237834935966856,-0.13196804111193128
97,3.983253002166748,173.75630530776817,174.46405274292312,0.40365469455718994,OK,varus,varus,0.027218906144092562,0.024147739183973557,2.721890614409256,2.414773918397356,2.721890614409256,2.414773918397356,-0.10933646945686393
98,4.058675050735474,176.3525829168554,176.72531314631806,0.39959000051021576,OK,neutral,neutral,0.015893747719148633,0.014267069639212272,1.5893747719148632,1.426706963921227,1.5893747719148632,1.426706963921227,-0.07322291143903037
99,4.091785430908203,176.85248234971257,177.0770028331579,0.3992716073989868,OK,neutral,neutral,0.013713390276585193,0.012724648954013857,1.3713390276585193,1.2724648954013857,1.3713390276585193,1.2724648954013857,-0.07548521892274795
100,4.124872207641602,178.14475814278754,177.90570540970566,0.3977554887533188,OK,neutral,neutral,0.008072006784751014,0.009119803519912442,0.8072006784751014,0.9119803519912442,0.8072006784751014,0.9119803519912442,-0.045523478340017576
101,4.167816877365112,178.25675682437955,178.06350459408839,0.3974849134683609,OK,neutral,neutral,0.007582274526662979,0.008438010728411162,0.7582274526662979,0.8438010728411163,0.7582274526662979,0.8438010728411163,-0.00912154080064198
102,4.208523511886597,178.66313003210027,178.6413324703345,0.39785371720790863,OK,neutral,neutral,0.005818299458313837,0.005918875424367561,0.5818299458313837,0.5918875424367561,0.5818299458313837,0.5918875424367561,-0.002065988140611097
103,4.248230934143066,178.524225989331,178.65372955350563,0.3983945697546005,OK,neutral,neutral,0.006426169529210548,0.005864651819335327,0.6426169529210548,0.5864651819335327,0.6426169529210548,0.5864651819335327,0.0002927757016770727
104,4.291100025177002,178.44959747417911,178.67582142464488,0.3987090140581131,OK,neutral,neutral,0.006753918635263304,0.005770157180608949,0.6753918635263304,0.5770157180608949,0.6753918635263304,0.5770157180608949,0.003613408550836361
105,4.33634614944458,178.43608426615828,178.69171175490436,0.3989707827568054,OK,neutral,neutral,0.00681417758082621,0.00570086150055345,0.6814177580826211,0.570086150055345,0.6814177580826211,0.570086150055345,0.005194382240770956
106,4.369407892227173,178.80773128866426,178.97413500689734,0.3987264037132263,OK,neutral,neutral,0.005194488066905136,0.004469546559910899,0.5194488066905135,0.4469546559910899,0.5194488066905135,0.4469546559910899,0.004185390249200616
107,4.4017369747161865,178.9591926602741,179.0939932594298,0.3985736817121506,OK,neutral,neutral,0.0045350594618833815,0.003946923228593313,0.45350594618833817,0.3946923228593313,0.45350594618833817,0.3946923228593313,0.0019183973566549994
108,4.453166484832764,178.7545434345357,179.0471694354627,0.3989258259534836,OK,neutral,neutral,0.00542634638084944,0.004150996883768376,0.5426346380849439,0.4150996883768376,0.5426346380849439,0.4150996883768376,0.00012367569250759658
109,4.491254091262817,178.59774767214688,179.0471849453561,0.39916492998600006,OK,neutral,neutral,0.006109169746269185,0.004150989794541424,0.6109169746269185,0.41509897945414237,0.6109169746269185,0.41509897945414237,0.0009513237447968947
110,4.512273550033569,178.78939761794499,179.25884801734856,0.3990141749382019,OK,neutral,neutral,0.005274070366052969,0.0032289788045840487,0.5274070366052969,0.32289788045840484,0.5274070366052969,0.32289788045840484,0.0015415252599826346
111,4.556777477264404,178.9604852128207,179.40877106859205,0.39893029630184174,OK,neutral,neutral,0.004528641842162741,0.0025758920693622245,0.4528641842162741,0.25758920693622245,0.4528641842162741,0.25758920693622245,0.0006258394913611909
112,4.5888025760650635,178.98089846475114,179.33248304344895,0.39890681207180023,OK,neutral,neutral,0.004439607808407852,0.0029088279254214037,0.44396078084078516,0.2908827925421404,0.44396078084078516,0.2908827925421404,-0.00025229380634828047
113,4.64288067817688,179.00917315407642,179.4070618796663,0.3989631086587906,OK,neutral,neutral,0.00431672070558031,0.002584138095692977,0.431672070558031,0.2584138095692977,0.431672070558031,0.2584138095692977,-0.0009767680787824418
114,4.700767755508423,179.01788649499065,179.44501003626507,0.399009570479393,OK,neutral,neutral,0.00427904247710192,0.0024189202802070296,0.427904247710192,0.24189202802070298,0.427904247710192,0.24189202802070298,-0.002154922782776403
115,4.7338457107543945,179.01526757948244,179.41821866767063,0.39894136786460876,OK,neutral,neutral,0.004290595325082102,0.0025356198406959224,0.4290595325082102,0.25356198406959224,0.4290595325082102,0.25356198406959224,-0.0026331860388895123
116,4.773293495178223,179.00640484820482,179.3971707902305,0.3988638371229172,OK,neutral,neutral,0.0043293776214523355,0.0026272851864320543,0.43293776214523355,0.26272851864320546,0.43293776214523355,0.26272851864320546,-0.002998138380117865
